"IDNum","QuestionNum","round","condition","target","response","correct","voicing","manner"
"P26","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P15","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P25","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P11","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P22","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P5","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P14","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P45","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P12","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P44","Q1",1,"Unmasked","zoo","sue",0,"voiced","fricative"
"P31","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P42","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P7","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P30","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P46","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P49","Q1",1,"Unmasked","zoo","sue",0,"voiced","fricative"
"P33","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P37","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P16","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P47","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P9","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P24","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P13","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P32","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P4","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P36","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P39","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P38","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
"P19","Q1",1,"Unmasked","zoo","zoo",1,"voiced","fricative"
