"","Guess do","Guess jus","Guess loo","Guess rue","Guess shoe","Guess sue","Guess to","Guess zoo"
"Target do",164,0,1,1,0,0,11,19
"Target jus",6,157,7,3,15,1,0,7
"Target loo",0,4,175,13,1,0,0,3
"Target rue",1,0,19,174,0,1,1,0
"Target shoe",2,11,1,0,169,1,11,0
"Target sue",11,2,1,2,1,103,18,58
"Target to",3,0,0,1,2,3,187,0
"Target zoo",3,2,0,1,1,7,0,182
