"","Guess do","Guess jus","Guess loo","Guess rue","Guess shoe","Guess sue","Guess to","Guess zoo"
"Target do",97,0,0,0,0,0,1,0
"Target jus",1,84,1,1,10,0,0,1
"Target loo",0,4,92,0,0,0,0,2
"Target rue",0,0,4,93,0,1,0,0
"Target shoe",0,0,1,0,97,0,0,0
"Target sue",0,0,1,1,0,77,0,19
"Target to",0,0,0,0,1,1,96,0
"Target zoo",0,0,0,0,0,6,0,92
