"","Guess do","Guess jus","Guess loo","Guess rue","Guess shoe","Guess sue","Guess to","Guess zoo"
"Target do",67,0,1,1,0,0,10,19
"Target jus",5,73,6,2,5,1,0,6
"Target loo",0,0,83,13,1,0,0,1
"Target rue",1,0,15,81,0,0,1,0
"Target shoe",2,11,0,0,72,1,11,0
"Target sue",11,2,0,1,1,26,18,39
"Target to",3,0,0,1,1,2,91,0
"Target zoo",3,2,0,1,1,1,0,90
